GW,H,A,Pred Home,Pred Away,Acc Home,Acc Away,A Strength,H Strength,GD/Winner,,Correct pred?,Merit H,Merit A,,Merit2 H,Merit2 A,,,,,,
8,WHU,BRE,,,0,2,30,20,-2,,FALSE,0.03,2.75,,0,2.99,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
9,LEE,WHU,1,2,2,1,20,23,1,,FALSE,2.75,-0.12,,2.98,-0.01,,,,,,
9,CHE,SUN,3,0,1,2,30,37,-1,,FALSE,0.03,3.12,,0,3.01,,,,,,
9,NEW,FUL,1,0,2,1,34,30,1,,TRUE,3.06,0.03,,3,0,,,,,,
9,MUN,BHA,2,1,4,2,30,35,2,,TRUE,2.97,0.14,,3,0.01,,,,,,
9,BRE,LIV,1,2,3,2,36,30,1,,FALSE,3.1,0.03,,3.01,0,,,,,,
9,BOU,NFO,3,1,2,0,25,27,2,,TRUE,2.86,-0.03,,2.99,0,,,,,,
9,ARS,CP,2,1,1,0,28,47,1,,TRUE,2.93,0.4,,3,0.02,,,,,,
9,AVL,MCI,0,3,1,0,46,43,1,,FALSE,3.32,0.32,,3.02,0.02,,,,,,
9,WOL,BUR,1,2,2,3,12,8,-1,,TRUE,-0.36,2.49,,-0.02,2.97,,,,,,
9,EVE,TOT,1,2,0,3,25,33,-3,,TRUE,-0.08,3.03,,-0.01,3,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
10,BHA,LEE,2,0,3,0,26,27,3,,TRUE,2.88,-0.03,,2.99,-0.01,,,,,,
10,BUR,ARS,0,2,0,2,47,15,-2,,TRUE,0.4,2.64,,0.02,2.98,,,,,,
10,CP,BRE,2,1,2,0,33,25,2,,TRUE,3.03,-0.08,,3,-0.01,,,,,,
10,FUL,WOL,2,0,3,0,8,31,3,,TRUE,2.49,0.06,,2.97,0,,,,,,
10,NFO,MUN,0,1,2,2,37,24,0,,,1.14,0.86,,1.02,0.98,,,,,,
10,TOT,CHE,2,1,0,1,34,28,-1,,FALSE,0.12,2.93,,0.01,3,,,,,,
10,LIV,AVL,2,0,2,0,46,33,2,,TRUE,3.32,0.1,,3.02,0,,,,,,
10,WHU,NEW,0,2,3,1,33,17,2,,FALSE,3.03,-0.25,,3,-0.02,,,,,,
10,MCI,BOU,2,1,3,1,30,43,2,,TRUE,2.97,0.32,,3,0.02,,,,,,
10,SUN,EVE,2,1,1,1,32,32,0,,,1.03,1.03,,1,1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
11,TOT,MUN,1,2,2,2,37,27,0,,,1.14,0.93,,1.01,0.99,,,,,,
11,EVE,FUL,2,1,2,0,34,30,2,,TRUE,3.06,0.03,,3,0,,,,,,
11,WHU,BUR,2,1,3,2,15,17,1,,TRUE,2.64,-0.25,,2.98,-0.02,,,,,,
11,SUN,ARS,1,2,2,2,49,32,0,,,1.4,1.03,,1.02,0.98,,,,,,
11,CHE,WOL,2,0,3,0,8,34,3,,TRUE,2.49,0.12,,2.97,0,,,,,,
11,AVL,BOU,1,2,4,0,30,43,4,,FALSE,2.97,0.32,,3,0.01,,,,,,
11,BRE,NEW,2,1,3,1,33,30,2,,TRUE,3.03,0.03,,3,0,,,,,,
11,CP,BHA,2,1,0,0,29,27,0,,,0.97,0.93,,1,1,,,,,,
11,NFO,LEE,1,0,3,1,26,22,2,,TRUE,2.88,-0.14,,2.99,-0.01,,,,,,
11,MCI,LIV,2,1,3,0,36,43,3,,TRUE,3.1,0.32,,3.01,0.02,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
12,BUR,CHE,0,3,0,2,34,15,-2,,TRUE,0.12,2.64,,0,2.98,,,,,,
12,BOU,WHU,2,1,2,2,19,29,0,,,0.75,0.97,,0.99,1.01,,,,,,
12,BHA,BRE,2,1,2,1,33,27,1,,TRUE,3.03,-0.03,,3,0,,,,,,
12,FUL,SUN,1,2,1,0,33,31,1,,FALSE,3.03,0.06,,3,0,,,,,,
12,LIV,NFO,3,1,0,3,22,36,-3,,FALSE,-0.14,3.1,,-0.01,3.01,,,,,,
12,WOL,CP,0,3,0,2,25,8,-2,,TRUE,-0.08,2.49,,-0.01,2.97,,,,,,
12,NEW,MCI,1,2,2,1,46,30,1,,FALSE,3.32,0.03,,3.02,0,,,,,,
12,LEE,AVL,0,2,1,2,43,26,-1,,TRUE,0.32,2.88,,0.02,2.99,,,,,,
12,ARS,TOT,2,1,4,1,28,47,3,,TRUE,2.93,0.4,,3,0.02,,,,,,
12,MUN,EVE,2,1,0,1,30,38,-1,,FALSE,0.03,3.14,,0,3.01,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
13,BRE,BUR,2,1,3,1,15,30,2,,TRUE,2.64,0.03,,2.98,0,,,,,,
13,MCI,LEE,3,0,3,2,26,43,1,,TRUE,2.88,0.32,,2.99,0.02,,,,,,
13,SUN,BOU,2,1,3,2,30,30,1,,TRUE,2.97,0.03,,3,0,,,,,,
13,EVE,NEW,2,1,1,4,30,33,-3,,FALSE,0.03,3.03,,0,3,,,,,,
13,TOT,FUL,2,1,1,2,31,28,-1,,FALSE,0.06,2.93,,0,3,,,,,,
13,CP,MUN,2,1,1,2,35,28,-1,,FALSE,0.14,2.93,,0.01,3,,,,,,
13,AVL,WOL,2,0,1,0,8,43,1,,TRUE,2.49,0.32,,2.97,0.02,,,,,,
